City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Abu Dhabi,AE,2021-07-28 21:28:07,24.4667,54.3667,96.91,52,0,0.0
252,Gao,ML,2021-07-28 21:28:08,16.6362,1.637,91.74,41,60,9.31
253,Yatsushiro,JP,2021-07-28 21:28:08,32.5,130.6,75.6,81,0,2.06
254,Gat,IL,2021-07-28 21:28:08,31.61,34.7642,81.28,77,0,5.01
255,Kushmurun,KZ,2021-07-28 21:28:09,52.4503,64.6311,55.47,65,39,7.58
256,Moree,AU,2021-07-28 21:28:09,-29.4667,149.85,46.42,93,1,5.75
257,Uruacu,BR,2021-07-28 21:28:09,-14.5247,-49.1408,81.3,27,0,2.1
258,Kuopio,FI,2021-07-28 21:28:10,62.8924,27.677,69.75,68,0,4.61
259,Lerwick,GB,2021-07-28 21:28:10,60.1545,-1.1494,57.2,98,98,10.76
260,Kapoeta,SS,2021-07-28 21:25:18,4.7717,33.5903,79.12,56,100,1.81
261,Port Hardy,CA,2021-07-28 21:28:11,50.6996,-127.4199,68.18,60,20,4.61
262,Mweka,CD,2021-07-28 21:28:11,-4.85,21.5667,71.73,30,9,0.94
263,Olinda,BR,2021-07-28 21:28:12,-8.0089,-34.8553,76.73,73,75,8.05
264,Magdagachi,RU,2021-07-28 21:28:12,53.45,125.8,59.02,98,30,5.61
265,Dzaoudzi,YT,2021-07-28 21:28:12,-12.7887,45.2699,73.29,78,0,9.22
266,Tuatapere,NZ,2021-07-28 21:28:13,-46.1333,167.6833,43.83,86,92,6.55
267,Aksu,CN,2021-07-28 21:28:13,41.1231,80.2644,83.68,33,65,3.33
268,Camana,PE,2021-07-28 21:28:13,-16.6228,-72.7111,62.17,80,60,8.5
269,Narsaq,GL,2021-07-28 21:28:14,60.9167,-46.05,53.82,77,74,5.53
270,Yilan,TW,2021-07-28 21:28:14,24.757,121.753,84.31,99,86,2.24
271,Tezu,IN,2021-07-28 21:28:14,27.9167,96.1667,77.22,91,100,3.98
272,Basco,PH,2021-07-28 21:28:15,20.4487,121.9702,83.39,85,88,24.85
273,Barauna,BR,2021-07-28 21:28:15,-5.08,-37.6167,78.06,75,49,13.8
274,Shingu,JP,2021-07-28 21:28:15,33.7333,135.9833,81.91,88,5,5.03
275,Naze,JP,2021-07-28 21:28:16,28.3667,129.4833,77.72,89,38,9.13
276,Maragogi,BR,2021-07-28 21:28:16,-9.0122,-35.2225,74.39,81,0,5.12
277,Lanigan,CA,2021-07-28 21:28:16,51.8501,-105.0344,82.29,16,29,10.92
278,Cortez,US,2021-07-28 21:25:22,37.3489,-108.5859,88.68,41,1,4.61
279,Salinas,US,2021-07-28 21:28:17,36.6777,-121.6555,94.57,59,1,10.36
280,Constitucion,CL,2021-07-28 21:27:16,-35.3333,-72.4167,56.61,54,0,4.72
281,Airai,TL,2021-07-28 21:28:18,-8.9266,125.4092,56.5,61,19,3.09
282,Pisco,PE,2021-07-28 21:28:18,-13.7,-76.2167,68.05,68,0,11.5
283,Abu Samrah,SY,2021-07-28 21:28:18,35.3029,37.1841,80.42,34,0,11.56
284,Tura,IN,2021-07-28 21:28:19,25.5198,90.2201,74.01,95,97,5.21
285,North Myrtle Beach,US,2021-07-28 21:28:19,33.816,-78.68,88.29,83,1,1.99
286,Hagere Hiywet,ET,2021-07-28 21:28:20,8.9833,37.85,57.79,95,96,4.21
287,Santa Maria,BR,2021-07-28 21:28:20,-29.6842,-53.8069,45.7,76,75,8.05
288,Fort Nelson,CA,2021-07-28 21:28:20,58.8053,-122.7002,74.79,35,75,8.05
289,Mao,ES,2021-07-28 21:28:21,39.8885,4.2658,75.76,69,0,9.22
290,Buraydah,SA,2021-07-28 21:28:21,26.326,43.975,97.25,15,35,9.04
291,Iquitos,PE,2021-07-28 21:25:04,-3.7481,-73.2472,87.84,66,40,5.75
292,Sao Miguel Do Araguaia,BR,2021-07-28 21:28:21,-13.275,-50.1628,85.8,20,0,5.21
